Record Length,15000,,Source,CH1,CH2
Sample Interval,40000.0000000000000,,Second,Volt,Volt
,,,-289040000.00000000000,0.08000,1.08000
,,,-289000000.00000000000,0.08000,1.12000
,,,-288960000.00000000000,0.24000,1.12000
,,,-288920000.00000000000,0.08000,1.12000
,,,-288880000.00000000000,0.04000,1.08000
,,,-288840000.00000000000,0.08000,1.08000
,,,-288800000.00000000000,0.08000,1.12000
,,,-288760000.00000000000,0.24000,1.08000
,,,-288720000.00000000000,0.12000,1.08000
,,,-288680000.00000000000,0.12000,1.08000
,,,-288640000.00000000000,0.08000,1.12000
,,,-288600000.00000000000,0.08000,1.08000
,,,-288560000.00000000000,0.24000,1.08000
,,,-288520000.00000000000,0.12000,1.12000
,,,-288480000.00000000000,0.12000,1.12000
,,,-288440000.00000000000,0.12000,1.12000
,,,-288400000.00000000000,0.12000,1.08000
,,,-288360000.00000000000,0.28000,1.08000
,,,-288320000.00000000000,0.12000,1.08000
,,,-288280000.00000000000,0.12000,1.08000
,,,-288240000.00000000000,0.12000,1.08000
,,,-288200000.00000000000,0.08000,1.12000
,,,-288160000.00000000000,0.24000,1.12000
,,,-288120000.00000000000,0.12000,1.08000
,,,-288080000.00000000000,0.12000,1.08000
,,,-288040000.00000000000,0.12000,1.08000
,,,-288000000.00000000000,0.08000,1.08000
,,,-287960000.00000000000,0.24000,1.08000
,,,-287920000.00000000000,0.12000,1.12000
,,,-287880000.00000000000,0.12000,1.08000
,,,-287840000.00000000000,0.04000,1.08000
,,,-287800000.00000000000,0.04000,1.08000
,,,-287760000.00000000000,0.24000,1.08000
,,,-287720000.00000000000,0.12000,1.08000
,,,-287680000.00000000000,0.12000,1.08000
,,,-287640000.00000000000,0.08000,1.08000
,,,-287600000.00000000000,0.08000,1.08000
,,,-287560000.00000000000,0.24000,1.08000
,,,-287520000.00000000000,0.12000,1.08000
,,,-287480000.00000000000,0.12000,1.08000
,,,-287440000.00000000000,0.12000,1.08000
,,,-287400000.00000000000,0.20000,1.12000
,,,-287360000.00000000000,0.12000,1.08000
,,,-287320000.00000000000,0.16000,1.08000
,,,-287280000.00000000000,0.12000,1.08000
,,,-287240000.00000000000,0.12000,1.12000
,,,-287200000.00000000000,0.24000,1.08000
,,,-287160000.00000000000,0.16000,1.12000
,,,-287120000.00000000000,0.16000,1.12000
,,,-287080000.00000000000,0.08000,1.08000
,,,-287040000.00000000000,0.08000,1.08000
,,,-287000000.00000000000,0.24000,1.12000
,,,-286960000.00000000000,0.08000,1.08000
,,,-286920000.00000000000,0.08000,1.08000
,,,-286880000.00000000000,0.12000,1.08000
,,,-286840000.00000000000,0.08000,1.12000
,,,-286800000.00000000000,0.20000,1.08000
,,,-286760000.00000000000,0.12000,1.12000
,,,-286720000.00000000000,0.12000,1.08000
,,,-286680000.00000000000,0.08000,1.08000
,,,-286640000.00000000000,0.12000,1.08000
,,,-286600000.00000000000,0.24000,1.08000
,,,-286560000.00000000000,0.12000,1.08000
,,,-286520000.00000000000,0.12000,1.12000
,,,-286480000.00000000000,0.12000,1.12000
,,,-286440000.00000000000,0.12000,1.12000
,,,-286400000.00000000000,0.24000,1.12000
,,,-286360000.00000000000,0.12000,1.08000
,,,-286320000.00000000000,0.16000,1.08000
,,,-286280000.00000000000,0.12000,1.08000
,,,-286240000.00000000000,0.12000,1.08000
,,,-286200000.00000000000,0.24000,1.12000
,,,-286160000.00000000000,0.16000,1.12000
,,,-286120000.00000000000,0.12000,1.12000
,,,-286080000.00000000000,0.08000,1.12000
,,,-286040000.00000000000,0.08000,1.12000
,,,-286000000.00000000000,0.24000,1.08000
,,,-285960000.00000000000,0.12000,1.12000
,,,-285920000.00000000000,0.12000,1.08000
,,,-285880000.00000000000,0.12000,1.08000
,,,-285840000.00000000000,0.04000,1.12000
,,,-285800000.00000000000,0.16000,1.08000
,,,-285760000.00000000000,0.12000,1.12000
,,,-285720000.00000000000,0.12000,1.08000
,,,-285680000.00000000000,0.08000,1.12000
,,,-285640000.00000000000,0.04000,1.08000
,,,-285600000.00000000000,0.24000,1.08000
,,,-285560000.00000000000,0.12000,1.08000
,,,-285520000.00000000000,0.12000,1.12000
,,,-285480000.00000000000,0.08000,1.12000
,,,-285440000.00000000000,0.08000,1.08000
,,,-285400000.00000000000,0.24000,1.08000
,,,-285360000.00000000000,0.16000,1.08000
,,,-285320000.00000000000,0.12000,1.12000
,,,-285280000.00000000000,0.16000,1.08000
,,,-285240000.00000000000,0.08000,1.08000
,,,-285200000.00000000000,0.24000,1.12000
,,,-285160000.00000000000,0.12000,1.08000
,,,-285120000.00000000000,0.12000,1.08000
,,,-285080000.00000000000,0.08000,1.00000
,,,-285040000.00000000000,0.08000,1.08000
,,,-285000000.00000000000,0.24000,1.08000
,,,-284960000.00000000000,0.12000,1.12000
,,,-284920000.00000000000,0.12000,1.08000
,,,-284880000.00000000000,0.08000,1.08000
,,,-284840000.00000000000,0.00,1.12000
,,,-284800000.00000000000,0.20000,1.08000
,,,-284760000.00000000000,0.08000,1.08000
,,,-284720000.00000000000,0.08000,1.12000
,,,-284680000.00000000000,0.12000,1.08000
,,,-284640000.00000000000,0.00,1.08000
,,,-284600000.00000000000,0.32000,1.08000
,,,-284560000.00000000000,0.12000,1.08000
,,,-284520000.00000000000,0.12000,1.08000
,,,-284480000.00000000000,0.12000,1.12000
,,,-284440000.00000000000,0.08000,1.08000
,,,-284400000.00000000000,0.12000,1.08000
,,,-284360000.00000000000,0.12000,1.08000
,,,-284320000.00000000000,0.16000,1.08000
,,,-284280000.00000000000,0.12000,1.08000
,,,-284240000.00000000000,0.24000,1.08000
,,,-284200000.00000000000,0.12000,1.08000
,,,-284160000.00000000000,0.08000,1.08000
,,,-284120000.00000000000,0.12000,1.08000
,,,-284080000.00000000000,0.08000,1.08000
,,,-284040000.00000000000,0.08000,1.08000
,,,-284000000.00000000000,0.08000,1.08000
,,,-283960000.00000000000,0.12000,1.12000
,,,-283920000.00000000000,0.12000,1.08000
,,,-283880000.00000000000,0.08000,1.12000
,,,-283840000.00000000000,0.20000,1.08000
,,,-283800000.00000000000,0.08000,1.12000
,,,-283760000.00000000000,0.08000,1.12000
,,,-283720000.00000000000,0.08000,1.12000
,,,-283680000.00000000000,0.08000,1.08000
,,,-283640000.00000000000,0.24000,1.08000
,,,-283600000.00000000000,0.12000,1.12000
,,,-283560000.00000000000,0.16000,1.12000
,,,-283520000.00000000000,0.12000,1.12000
,,,-283480000.00000000000,0.12000,1.12000
,,,-283440000.00000000000,0.24000,1.08000
,,,-283400000.00000000000,0.12000,1.12000
,,,-283360000.00000000000,0.12000,1.12000
,,,-283320000.00000000000,0.12000,1.08000
,,,-283280000.00000000000,0.12000,1.08000
,,,-283240000.00000000000,0.24000,1.08000
,,,-283200000.00000000000,0.16000,1.08000
,,,-283160000.00000000000,0.08000,1.12000
,,,-283120000.00000000000,0.12000,1.08000
,,,-283080000.00000000000,0.08000,1.08000
,,,-283040000.00000000000,0.20000,1.08000
,,,-283000000.00000000000,0.12000,1.12000
,,,-282960000.00000000000,0.12000,1.08000
,,,-282920000.00000000000,0.04000,1.08000
,,,-282880000.00000000000,0.04000,1.12000
,,,-282840000.00000000000,0.20000,1.08000
,,,-282800000.00000000000,0.08000,1.12000
,,,-282760000.00000000000,0.12000,1.08000
,,,-282720000.00000000000,0.12000,1.12000
,,,-282680000.00000000000,0.08000,1.12000
,,,-282640000.00000000000,0.24000,1.08000
,,,-282600000.00000000000,0.08000,1.12000
,,,-282560000.00000000000,0.12000,1.12000
,,,-282520000.00000000000,0.12000,1.08000
,,,-282480000.00000000000,0.08000,1.08000
,,,-282440000.00000000000,0.28000,1.08000
,,,-282400000.00000000000,0.12000,1.08000
,,,-282360000.00000000000,0.12000,1.08000
,,,-282320000.00000000000,0.08000,1.08000
,,,-282280000.00000000000,0.12000,1.08000
,,,-282240000.00000000000,0.28000,1.12000
,,,-282200000.00000000000,0.12000,1.08000
,,,-282160000.00000000000,0.16000,1.12000
,,,-282120000.00000000000,0.08000,1.12000
,,,-282080000.00000000000,0.08000,1.08000
,,,-282040000.00000000000,0.08000,1.08000
,,,-282000000.00000000000,0.12000,1.08000
,,,-281960000.00000000000,0.12000,1.08000
,,,-281920000.00000000000,0.04000,1.12000
,,,-281880000.00000000000,0.00,1.08000
,,,-281840000.00000000000,0.24000,1.08000
,,,-281800000.00000000000,0.12000,1.12000
,,,-281760000.00000000000,0.12000,1.08000
,,,-281720000.00000000000,0.08000,1.08000
,,,-281680000.00000000000,0.04000,1.12000
,,,-281640000.00000000000,0.20000,1.08000
,,,-281600000.00000000000,0.12000,1.12000
,,,-281560000.00000000000,0.12000,1.08000
,,,-281520000.00000000000,0.12000,1.08000
,,,-281480000.00000000000,0.12000,1.12000
,,,-281440000.00000000000,0.12000,1.12000
,,,-281400000.00000000000,0.16000,1.08000
,,,-281360000.00000000000,0.12000,1.08000
,,,-281320000.00000000000,0.12000,1.12000
,,,-281280000.00000000000,0.20000,1.12000
,,,-281240000.00000000000,0.12000,1.08000
,,,-281200000.00000000000,0.12000,1.12000
,,,-281160000.00000000000,0.12000,1.08000
,,,-281120000.00000000000,0.08000,1.12000
,,,-281080000.00000000000,0.24000,1.08000
,,,-281040000.00000000000,0.08000,1.12000
,,,-281000000.00000000000,0.12000,1.08000
,,,-280960000.00000000000,0.12000,1.08000
,,,-280920000.00000000000,0.08000,1.12000
,,,-280880000.00000000000,0.20000,1.08000
,,,-280840000.00000000000,0.12000,1.08000
,,,-280800000.00000000000,0.12000,1.08000
,,,-280760000.00000000000,0.08000,1.12000
,,,-280720000.00000000000,0.12000,1.08000
,,,-280680000.00000000000,0.16000,1.12000
,,,-280640000.00000000000,0.08000,1.08000
,,,-280600000.00000000000,0.12000,1.08000
,,,-280560000.00000000000,0.12000,1.04000
,,,-280520000.00000000000,0.12000,1.08000
,,,-280480000.00000000000,0.24000,1.12000
,,,-280440000.00000000000,0.12000,1.08000
,,,-280400000.00000000000,0.12000,1.08000
,,,-280360000.00000000000,0.12000,1.08000
,,,-280320000.00000000000,0.08000,1.12000
,,,-280280000.00000000000,0.24000,1.12000
,,,-280240000.00000000000,0.12000,1.12000
,,,-280200000.00000000000,0.12000,1.08000
,,,-280160000.00000000000,0.12000,1.08000
,,,-280120000.00000000000,0.12000,1.08000
,,,-280080000.00000000000,0.24000,1.12000
,,,-280040000.00000000000,0.24000,1.12000
